env,learning_rate,bias,mean_ht,std_ht
unhealthy,1.0,0.5,0.5218288442098884,0.05125648938903874
unhealthy,1.0,0.6,0.4934351780402831,0.050991736335092096
unhealthy,1.0,0.7,0.4649772753198601,0.05620418557324901
unhealthy,1.0,0.8,0.4366410000203186,0.05480954410893879
unhealthy,1.0,0.9,0.40978927309755675,0.05523539064040785
unhealthy,1.0,1.0,0.3813945034171878,0.05382313497426431
balanced,0.0,0.0,0.5042511329853441,0.15034876894829008
balanced,0.0,0.1,0.5123661110944104,0.14997074069338512
balanced,0.0,0.2,0.5119848952632721,0.15683035427588843
balanced,0.0,0.3,0.4951932162674139,0.16041114361247652
balanced,0.0,0.4,0.49055438924665806,0.15324963301927458
balanced,0.0,0.5,0.4948640368653395,0.15029406252798075
balanced,0.0,0.6,0.5070275727652518,0.14910047218878855
balanced,0.0,0.7,0.5087777459534333,0.15462685138024793
balanced,0.0,0.8,0.500318379637314,0.14179944587128515
balanced,0.0,0.9,0.49746316441682353,0.1474986320657493
balanced,0.0,1.0,0.4901084145474909,0.14768194507053142
balanced,0.1,0.0,0.5036660379956347,0.10363612683272438
balanced,0.1,0.1,0.5000600162287642,0.10002321867470161
balanced,0.1,0.2,0.5004817213984954,0.09037375567619564
balanced,0.1,0.3,0.5004706095274624,0.07979609100428672
balanced,0.1,0.4,0.5012766981061766,0.0678476436734067
balanced,0.1,0.5,0.5002221904712677,0.06056928917223266
balanced,0.1,0.6,0.5003333797155141,0.049193255930492535
balanced,0.1,0.7,0.5002569809602774,0.04245185921766212
balanced,0.1,0.8,0.4999290787890577,0.03617229636656948
balanced,0.1,0.9,0.49967221421840735,0.030033195914138357
balanced,0.1,1.0,0.5007283031744597,0.02919387499442517
balanced,0.2,0.0,0.5013988851317394,0.1099241826927454
balanced,0.2,0.1,0.5001825754934721,0.1011308439415524
balanced,0.2,0.2,0.5001323454147776,0.09071729950634945
balanced,0.2,0.3,0.49919486812618286,0.07886316683451422
balanced,0.2,0.4,0.5003373030290026,0.06936972557442501
balanced,0.2,0.5,0.5001903974542701,0.05859983154136723
balanced,0.2,0.6,0.499808367102827,0.04745492390444622
balanced,0.2,0.7,0.4998336710470339,0.036065031668419095
balanced,0.2,0.8,0.5001613893303791,0.030143029803989394
balanced,0.2,0.9,0.5000931165264212,0.023642629877068794
balanced,0.2,1.0,0.49859171395882745,0.024336766146776177
balanced,0.3,0.0,0.498410751485707,0.10961042360314177
balanced,0.3,0.1,0.4984698524487916,0.1038331681939363
balanced,0.3,0.2,0.4997922730592067,0.08598877340015516
