bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
45,balanced,0.01,0.1421982665381783,0.4405286343612334,0.2227116984826236,0.2227116984826236,0.1140479686735193,0.1540046457558205,0.0118063792176421
46,healthy,0.99,0.170665138736984,0.2723985536359984,0.2723985536359984,0.0936118923262354,0.3615910004017678,0.2004117141457479,0.0297465754087639
46,unhealthy,0.77,0.1936953366215147,0.0936118923262354,0.2723985536359984,0.2723985536359984,0.3615910004017678,0.2063232014488261,0.0126278648273114
46,balanced,0.06,0.1293045332999607,0.2310838445807771,0.2310838445807771,0.2310838445807771,0.3067484662576687,0.1423750401297974,0.0130705068298367
47,healthy,1.0,0.1338227831618965,0.3068530514831231,0.231162632117286,0.1551312649164677,0.3068530514831231,0.1453137333440775,0.011490950182181
47,unhealthy,1.0,0.156563995070272,0.1551312649164677,0.3068530514831231,0.3068530514831231,0.231162632117286,0.166863431338687,0.010299436268415
47,balanced,0.01,0.1336489646747056,0.2664298401420959,0.2664298401420959,0.2007104795737122,0.2664298401420959,0.155747103812135,0.0220981391374293
48,healthy,0.81,0.1623254737333542,0.250092216894135,0.0859461453338251,0.3319808188860199,0.3319808188860199,0.1938816772773408,0.0315562035439865
48,unhealthy,0.76,0.1675092118708992,0.1028243601059135,0.2007943512797881,0.2992056487202118,0.3971756398940865,0.1699991219553019,0.0024899100844027
48,balanced,0.11,0.122848370078344,0.2227116984826236,0.2227116984826236,0.2227116984826236,0.3318649045521292,0.1276817611501683,0.0048333910718243
49,healthy,1.0,0.1298092772903201,0.2845528455284552,0.1457160725453408,0.1457160725453408,0.424015009380863,0.157757703976528,0.0279484266862079
49,unhealthy,0.89,0.1248602477445473,0.1828778135048231,0.3617363344051446,0.272508038585209,0.1828778135048231,0.1349595338534887,0.0100992861089413
49,balanced,0.11,0.1196022566263704,0.2847309136420525,0.1458072590738423,0.2847309136420525,0.2847309136420525,0.1377652698682464,0.018163013241876
50,healthy,0.84,0.1625285130330205,0.250092216894135,0.16783474732571,0.250092216894135,0.3319808188860199,0.1889683953004891,0.0264398822674686
50,unhealthy,0.79,0.1775908921399497,0.214828897338403,0.2851711026615969,0.2851711026615969,0.214828897338403,0.1954461502310486,0.0178552580910989
50,balanced,0.1,0.1121596730888296,0.1140479686735193,0.2227116984826236,0.2227116984826236,0.4405286343612334,0.1500313829831859,0.0378717098943563
51,healthy,1.0,0.1533837507296454,0.3319808188860199,0.0859461453338251,0.250092216894135,0.3319808188860199,0.1575912400793533,0.0042074893497079
